Date,Temp,total_precip,rain_avg_year,Sun,sun_avg_year
8/10/2016,24.85,0.71,5.46,9.09,5.86
8/11/2016,24.71,0.44,5.53,10.05,5.81
8/12/2016,24.99,0.2,5.59,9.92,5.77
8/13/2016,25.41,0.26,5.63,9.46,5.72
8/14/2016,25.29,0.9,5.66,7.92,5.69
8/15/2016,25.23,5.03,5.67,4.54,5.67
8/16/2016,25.82,9.38,5.68,5.02,5.65
8/17/2016,25.58,29.86,5.68,4.46,5.65
8/18/2016,25.72,5.28,5.69,6.41,5.65
8/19/2016,26.20,2.25,5.69,6.42,5.66
8/20/2016,26.04,11,5.68,5.38,5.67
8/21/2016,26.45,7.15,5.68,7.28,5.68
8/22/2016,25.96,26.72,5.68,4.19,5.68
8/23/2016,25.43,11.46,5.69,6.71,5.68
8/24/2016,24.96,2.06,5.71,6.93,5.67
8/25/2016,25.99,2.52,5.72,7.2,5.66
8/26/2016,24.81,12.69,5.75,5.12,5.64
8/27/2016,22.46,6.36,5.78,4.31,5.61
8/28/2016,22.32,9.21,5.81,3.19,5.57
8/29/2016,23.66,17.88,5.85,4.16,5.54
8/30/2016,22.91,22.76,5.9,4.08,5.49
8/31/2016,23.90,1.69,5.97,8.72,5.44
9/1/2016,23.66,0.25,6.03,7.72,5.38
9/2/2016,23.79,1.69,6.12,6.63,5.32
9/3/2016,24.40,3.69,6.21,4.94,5.26
9/4/2016,24.50,7.17,6.29,3.96,5.2
9/5/2016,24.54,6.13,6.38,3.97,5.14
9/6/2016,24.69,10.64,6.49,4.01,5.07
9/7/2016,24.14,8.51,6.59,3.93,5.01
9/8/2016,22.26,20.63,6.69,2.35,4.95
9/9/2016,22.00,10.48,6.77,5.8,4.9
9/10/2016,22.03,1.27,6.83,6.9,4.85
9/11/2016,21.90,1.9,6.88,5.16,4.81
9/12/2016,21.45,14.75,6.9,2.28,4.78
9/13/2016,21.38,18.3,6.92,1.3,4.75
9/14/2016,21.79,5.39,6.92,1.63,4.73
9/15/2016,22.16,2.62,6.9,3.95,4.72
9/16/2016,22.10,1.78,6.86,3.12,4.71
9/17/2016,22.14,11.13,6.81,3.22,4.7
9/18/2016,20.70,26.17,6.76,1.12,4.69
9/19/2016,19.81,18.92,6.72,1.64,4.68
9/20/2016,18.30,45.74,6.7,1.88,4.66
9/21/2016,18.82,1.12,6.66,3.98,4.65
9/22/2016,19.22,13.15,6.62,1.41,4.63
9/23/2016,19.87,8.38,6.57,2.07,4.61
9/24/2016,20.49,2.67,6.53,4.59,4.59
9/25/2016,21.87,3.49,6.49,5.17,4.57
9/26/2016,22.30,3.55,6.45,3.85,4.54
9/27/2016,22.73,6.46,6.38,4.68,4.52
9/28/2016,22.44,16.69,6.31,0.92,4.51
9/29/2016,19.85,13.17,6.21,1.59,4.49
9/30/2016,18.68,3.23,6.11,4.79,4.48
10/1/2016,19.97,2.98,6.01,4.8,4.47
10/2/2016,21.44,0.57,5.91,6.22,4.46
10/3/2016,21.36,10.55,5.81,0.8,4.45
10/4/2016,20.80,1.35,5.71,4.08,4.45
10/5/2016,19.41,9.58,5.59,2.55,4.46
10/6/2016,19.47,2.93,5.45,6.22,4.48
10/7/2016,17.01,0.5,5.32,6.34,4.51
10/8/2016,18.95,16.24,5.18,1.27,4.54
10/9/2016,17.34,13.23,5.04,2.17,4.58
10/10/2016,14.61,1.53,4.89,4.82,4.63
10/11/2016,14.66,1.55,4.74,3.72,4.69
10/12/2016,14.29,1.81,4.6,4.44,4.75
10/13/2016,13.53,0.63,4.46,2.97,4.8
10/14/2016,13.36,0.8,4.34,5.41,4.85
10/15/2016,14.23,1.42,4.26,8.21,4.89
10/16/2016,16.79,4.58,4.21,5.47,4.92
10/17/2016,18.27,14.47,4.16,2.07,4.93
10/18/2016,18.64,0.6,4.13,6.05,4.94
